Query,answer_gold,50_median,50_cardinals,50_hnoun,50_hnoun_list,50_hnoun_freq,50_amod_freq,50_entities,precision_hnoun_50,correctness_hnoun_50,std_hnoun_50,precision_all_50,correctness_all_50,std_all_50
How many employees does Diffbot have?,34,10,"{10,10,45,10,10,90988,33,10,10,10,10,10,100,3,10,678,10,10,10,10,10,10,10,32035,1,10,505,10,1,216,370,28,35000,33,55,1,1,10,10,8,111,1500,179,10,10,3,10,10,123,30000,110000,1,10,10,10,10,10,951}",33.000,"{45: ""45 employees"",33: ""33 employees"",678: ""their estimated 678 employees"",10: ""10 employees"",505: ""their estimated 505 employees"",216: ""216 employees"",28: ""28 employees"",33: ""33 employees"",8: ""8 employees"",3: ""3 employees"",110000: ""over 110,000 employees"",10: ""10 employees""}",{12: employees},"{10: ,2: estimated}",,0,0.971,31713.867,0,0.294,19622.966
How many employees does Allen Institute for AI have?,124,34,"{712,9988,8134,926,920,17,1,1,1,34,1,533,5}",373.000,"{712: ""712 employees"",34: ""34 employees""}",{2: employees},{2: },,0,0.332,479.418,0,0.274,3336.761
How many faculty members does University of North Dakota have?,1110,53,"{18,1,14,2,10519,250,140,1000,88,2200,6500,145,145,2,3,2,1,3}",3250.000,"{1: ""every one instructional faculty member"",6500: ""6,500 staff members""}","{1: members,1: member}","{1: ,1: instructional}",,0,0.342,4595.487,0,0.048,2810.639
How many faculty members does UCSD have?,10625,10,"{10,200,30800,19,1,15,76,23,4,2,1,858,534,25,12,1,1,2,2,13,1,20,858,1,2,2,2}",13.000,"{1: ""every one instructional faculty member"",23: ""23 National Academy members"",13: ""13 members""}","{2: members,1: member}","{2: ,1: instructional}",,0,0.001,11.015,0,0.001,5912.562
How many songs does Hollywood Undead have?,219,3,"{6,1,1,4,37,29,5,1,2,2,2,2,200,154,6,5,2,3,1,2,3,2,1,0,22,1,200000000,1,4,10,10,5,9,1000000,29787,10,1,9,3,1,3,36,200000000,1,3,5,1}",2.000,"{2: ""two official albums - Swan Songs"",2: ""two official albums - Swan Songs"",2: ""two official albums - Swan Songs"",10: ""the top 10 best Hollywood Undead songs"",3: ""3 songs"",3: ""3 songs""}","{3: Songs,3: songs}","{2: ,1: best,1: top,3: official}",,0,0.009,3.141,0,0.014,40801530.335
How many characters does Lord of the Rings have?,832,3,"{888,218,982,2,3,2,3,2,1,6,7,3,3,1,19,3,1,3,1,3,1,1,360,2,15,1,1,15,3,9,1,4,3}",2.000,"{982: ""982 characters"",3: ""three Account Types"",1: ""the One Ring"",19: ""the nineteen other Rings"",1: ""The One Ring"",1: ""only One Ring"",1: ""the One Ring"",4: ""four parts""}","{1: Types,4: Ring,1: characters,1: parts,1: Rings}","{7: ,1: other}",,0,0.002,345.728,0,0.004,232.608
How many subway stations does New York have?,472,48,"{472,470,4,5,1,1,468,423,28,472,1,1000000,70,9,2,1,68,170,171,2,1,157,189,122,1,214,625,1,1000000,1,1,468,3,472,72,86,96,424,472,27,69,468,423,1,472,75,4,550000,2,23,19,2,1,1,12,405,1,2,27,4,468,2,600000,1}",287.000,"{472: ""the 472 stations"",468: ""468 New York City subway stations"",28: ""28 stations"",472: ""472 stations"",1: ""one station"",70: ""70 New York City Subway stations"",1: ""one station"",170: ""170 New York City Subway stations"",1: ""one station"",1: ""at least one subway station"",468: ""468 MTA Subway stations"",3: ""three new stations"",472: ""472 stations"",96: ""96 St Second Avenue Subway stations"",424: ""424 stations"",472: ""472 stations"",468: ""468 subway stations"",472: ""472 stations"",75: ""75 stations"",405: ""405 stations"",4: ""just four new subway stations"",468: ""468 stations""}","{18: stations,4: station}","{20: ,2: new}",,0,0.608,218.519,0,0.102,199467.615
How many subway stations does Berlin have?,173,21,"{10,173,15,1,2,12,337,15,23,472,470,4,12,75,4,149,7,109,128,23,19,2,1,1,12,405,70,9,2,1,68,1,1,2,509,510,151,32,18,1,121,38,8,69,468,423,2,1,115000000,36,147,3700}",113.000,"{173: ""173 stations"",337: ""337 stations"",472: ""the 472 stations"",12: ""12 stations"",75: ""75 stations"",7: ""Seven subway stations"",405: ""405 stations"",70: ""70 New York City Subway stations"",1: ""one station"",151: ""151 New York City Subway stations"",1: ""one station"",38: ""38 train stations"",468: ""468 subway stations"",183: ""only 36 of 147 stations""}","{12: stations,2: station}",{14: },,0,0.653,177.320,0,0.121,15947606.534
How many ice lines does Germany have?,32,16,"{300,175,5,20000,400,53,80,5,13,24,2,3,5,7,1300,5000,1,23,20,6,53,46,11,3,403,406,407,3,4,5,147000,4,1,2}",3.000,"{24: ""the 24 ICE lines"",3: ""the 3 ICE Sprinter lines"",2: ""up to two lines""}",{3: lines},{3: },,0,0.094,12.423,0,0.500,25302.893
How many hospitals does tennessee have?,176,30,"{2020,407,185,119,1,5000,16,1,7,5,61,500,14,3,9,1,128000,4,5000,1000000,4,126,83,17,943,6,569,1962,7,8,6,5,2800,12,89,30,581,1,5,7000,5000}",185.000,"{407: ""407 hospitals"",185: ""185 hospitals"",5000: ""nearly 5,000 hospitals"",61: ""61 hospitals"",14: ""14 Hospitals"",5000: ""nearly 5,000 hospitals"",126: ""126 hospitals"",8: ""eight hospitals"",2800: ""more than 2,800 U.S. hospitals""}","{1: Hospitals,8: hospitals}","{8: ,1: more}",,0,0.951,2165.225,0,0.170,156817.725
