'Query','answer_gold','Google','Bing','5_hnoun','5_hnoun_list','5_hnoun_freq','5_amod_freq','10_hnoun','10_hnoun_list','10_hnoun_freq','10_amod_freq','50_hnoun','50_hnoun_list','50_hnoun_freq','50_amod_freq'
How many employees does Diffbot have?,,,,10,"{33: 33 employees,10: The top 10 competitors,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,10: top 10 competitors}","{5: competitors,1: employees}","{1: ,5: top}",10,"{33: 33 employees,10: The top 10 competitors,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,10: top 10 competitors,3: less than 3 jobs}","{1: jobs,5: competitors,1: employees}","{1: ,1: less,5: top}",10,"{10: The top 10 competitors,10: top 10 competitors,10: The top 10 competitors,33: 33 employees,10: The top 10 competitors,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,10: top 10 competitors,3: less than 3 jobs,211: 211 employees,10: The top 10 competitors,606: their estimated 606 employees,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,442: their estimated 442 employees,10: top 10 competitors,35000: more than 35,000 people,33: 33 employees,10: top 10 competitors,10: The top 10 competitors,10: 10 employees,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,505: their estimated 505 employees,10: top 10 competitors,32: 32 employees,10: The top 10 competitors,397: their estimated 397 employees,10: top 10 competitors,10: top 10 competitors,10: The top 10 competitors,3: 3 employees,10: top 10 competitors,10: The top 10 competitors,30000: over 30,000 people,110000: over 110,000 employees,8: 8 employees,2: two different ways}","{1: jobs,1: ways,25: competitors,12: employees,2: people}","{9: ,4: estimated,1: different,25: top,1: less,1: more}"
employees at Diffbot,,,,,,,,4,"{33: 33 employees,2: 2 locations,6: 6 salaries wages,3: 3 jobs}","{1: locations,1: jobs,1: employees,1: wages}",{4: },11,"{33: 33 employees,2: 2 locations,6: 6 salaries wages,3: 3 jobs,30: 30 employees,28: 28 employees,28: 28 employees,3: less than 3 jobs,6: 6 employees,11: 1 - 10 Employees,3: 3 Emails,3759: 3,759 Bilingual jobs,20000000000: Over 20 billion entities}","{1: Emails,1: Employees,1: wages,1: locations,1: entities,3: jobs,5: employees}","{12: ,1: less}"
Diffbot employees,,,,33,{33: 33 employees},{1: employees},{1: },5,"{33: 33 employees,5: 5 Diffbot reviews,5: 5 Diffbot reviews}","{2: reviews,1: employees}",{3: },9,"{33: 33 employees,5: 5 Diffbot reviews,5: 5 Diffbot reviews,6: 6 salaries wages,3: 3 jobs,3: less than 3 jobs,14: 14 Diffbot office photos,28: 28 employees,30: 30 employees,28: 28 employees,9: 9 Diffbot jobs,20000000000: Over 20 billion entities,11: 1 - 10 Employees,3: 3 Emails,6: 6 employees}","{1: Emails,1: Employees,2: reviews,1: wages,1: entities,3: jobs,1: photos,5: employees}","{14: ,1: less}"
Number of employees at Diffbot,,,,10,"{10: top 10 competitors,45: 45 employees,10: top 10 competitors,10: The top 10 competitors,33: 33 employees,2: 2 locations}","{1: locations,3: competitors,2: employees}","{3: ,3: top}",10,"{10: top 10 competitors,45: 45 employees,10: top 10 competitors,10: The top 10 competitors,33: 33 employees,2: 2 locations}","{1: locations,3: competitors,2: employees}","{3: ,3: top}",10,"{10: top 10 competitors,45: 45 employees,10: top 10 competitors,10: The top 10 competitors,33: 33 employees,2: 2 locations,50: 50 URLs,11: 1 - 10 Employees,3: 3 Emails,606: their estimated 606 employees,10: top 10 competitors,10: The top 10 competitors,28: 28 employees,10: top 10 competitors,10: The top 10 competitors,411: 411 employees,10: top 10 competitors,10: The top 10 competitors,900000: more than 900,000 professionals,10: top 10 competitors,10: The top 10 competitors,112: 112 employees,10: top 10 competitors,10: The top 10 competitors,10: The top 10 competitors,442: their estimated 442 employees,10: top 10 competitors,20000: over 20,000 pet sitters,4: four SMB and enterprise pricing plans}","{1: URLs,1: Emails,1: Employees,15: competitors,1: locations,1: professionals,1: sitters,1: plans,7: employees}","{10: ,2: estimated,1: more,15: top,1: pet}"
How many employees does Allen Institute for AI have?,,,,,,,,704,{704: 704 employees},{1: employees},{1: },369,"{704: 704 employees,1000000: approximately 1.5 million people,375000000: as many as 375 million workers,34: 34 employees,2: two separate entities,5: five people}","{1: workers,2: people,1: entities,2: employees}","{4: ,1: many,1: separate}"
employees at Allen Institute for AI,,,,,,,,,,,,21,"{43: 43 Allen Institute,3: 3 jobs,21: 21 Allen Institute,5: 5 Allen Institute,1000: over 1,000 full-time employees}","{1: jobs,3: Institute,1: employees}","{4: ,1: full}"
Allen Institute for AI employees,,,,,,,,43,{43: 43 Allen Institute},{1: Institute},{1: },4,"{43: 43 Allen Institute,4: four founding employees,3: other three scientific divisions,3: 3 jobs,21: 21 Allen Institute,5: 5 Allen Institute,465: 465 computer science papers,4: four importance rankings}","{1: employees,1: papers,1: rankings,1: jobs,3: Institute,1: divisions}","{6: ,1: other,1: founding,1: scientific}"
Number of employees at Allen Institute for AI,,,,,,,,,,,,1000000,"{10: at least 10 full time employees,1000000: the 1.8 million people,1000000: approximately 1.5 million people}","{2: people,1: employees}","{1: full,2: }"
How many faculty members does University of North Dakota have?,,,,2,"{18: 18 students,1: every one instructional faculty member,2: two distinct states}","{1: member,1: states,1: students}","{1: ,1: distinct,1: instructional}",10,"{18: 18 students,1: every one instructional faculty member,2: two distinct states,140: more than 140 different graduate programs}","{1: programs,1: member,1: states,1: students}","{1: ,1: more,1: different,1: distinct,1: instructional}",18,"{18: 18 students,1: every one instructional faculty member,2: two distinct states,140: more than 140 different graduate programs,88: 88 nations,4: the four-story U Place,6717: 6,717 students,2200: the 2,200 faculty,6500: 6,500 staff members,2: two COBRE grants,6: six presidents}","{1: members,1: programs,1: presidents,1: nations,1: states,1: faculty,1: grants,1: member,2: students,1: Place}","{7: ,1: COBRE,1: different,1: distinct,1: instructional,1: more}"
faculty members of University of North Dakota,,,,,,,,,,,,11,"{4: these four groups,11: 11 full-time faculty,2: two part-time faculty,13: 13 graduate faculty members,2: 2 graduate students,500: nearly 500 dedicated faculty,6717: 6,717 students}","{1: members,1: groups,2: students,3: faculty}","{5: ,1: full,1: dedicated}"
University of North Dakota faculty members,,,,,,,,,,,,8,"{4: these four groups,6717: 6,717 students,13: 13 graduate faculty members,2: 2 graduate students,450: over 450 students,2: two state anesthesia meetings}","{1: members,1: groups,1: meetings,3: students}",{6: }
Number of faculty members of University of North Dakota,,,,9,"{18: 18 students,1: every one instructional faculty member}","{1: member,1: students}","{1: ,1: instructional}",9,"{18: 18 students,1: every one instructional faculty member}","{1: member,1: students}","{1: ,1: instructional}",53,"{18: 18 students,1: every one instructional faculty member,2: two distinct states,1: one outstanding program,2: two campus locations,6717: 6,717 students,88: 88 nations,140: more than 140 different graduate programs,240: approximately 240 students,3000: more than 3,000 alumni}","{1: programs,1: alumni,1: nations,1: states,1: locations,1: program,1: member,3: students}","{5: ,1: outstanding,1: distinct,1: instructional,2: more,1: different}"
How many faculty members does UCSD have?,,,,23,"{19: 19 students,200: over 200 undergraduate and graduate degree programs,23: 23 National Academy members}","{1: members,1: programs,1: students}","{2: ,1: undergraduate}",23,"{19: 19 students,200: over 200 undergraduate and graduate degree programs,23: 23 National Academy members}","{1: members,1: programs,1: students}","{2: ,1: undergraduate}",21,"{19: 19 students,200: over 200 undergraduate and graduate degree programs,23: 23 National Academy members,2: two distinct Ph.D. programs,6: 6 comments,2: two separate questions,500: the approximately 500 undergraduate students,200: 200 graduate students,26: 26 researchers,33: 33 staff members,23: 23 faculty members,2: two Nobel Prize winners,13: 13 members,20: fewer than 20 public U.S. universities}","{4: members,1: researchers,2: programs,1: questions,1: comments,1: universities,1: winners,3: students}","{9: ,2: undergraduate,1: distinct,1: separate,1: public,1: fewer}"
faculty members of UCSD,,,,3860388,{3860388: (858) 534-7229 MCC 102 malac@ucsd.edu},{1: malac@ucsd.edu},{1: },1930265,"{3860388: (858) 534-7229 MCC 102 malac@ucsd.edu,143: some 143 members}","{1: members,1: malac@ucsd.edu}",{2: },8,"{3860388: (858) 534-7229 MCC 102 malac@ucsd.edu,143: some 143 members,41: 41 ladder-rank faculty members,11: 11 adjunct faculty,6: the six undergraduate colleges,3: our three departments’ websites,5: the five academic divisions,2: two student representatives}","{2: members,1: divisions,1: representatives,1: malac@ucsd.edu,1: colleges,1: faculty,1: websites}","{5: ,1: undergraduate,1: adjunct,1: academic}"
UCSD faculty members,,,,,,,,143,{143: some 143 members},{1: members},{1: },37,"{143: some 143 members,3860388: (858) 534-7229 MCC 102 malac@ucsd.edu,41: 41 ladder-rank faculty members,11: 11 adjunct faculty,6: six private meeting rooms,500: the approximately 500 undergraduate students,200: 200 graduate students,26: 26 researchers,33: 33 staff members,23: 23 faculty members}","{4: members,1: researchers,1: rooms,1: malac@ucsd.edu,2: students,1: faculty}","{7: ,1: private,1: adjunct,1: undergraduate}"
Number of faculty members of UCSD,,,,,,,,,,,,38,"{3: Three faculty members,3: our three departments’ websites,60: over 60 faculty,100: approximately 100 Ph.D. students,35: approximately 35 Masters students,50: 50 faculty,60: 60 residents,4: four essential missions,10: a mere 10 faculty members,38: 38 students,10: ten campuses,220000: more than 220,000 students,170000: approximately 170,000 faculty}","{2: members,4: students,1: campuses,1: websites,1: missions,1: residents,3: faculty}","{10: ,1: essential,1: more,1: mere}"
How many songs does Hollywood Undead have?,,,,37,{37: thirty-seven singles},{1: singles},{1: },4,"{37: thirty-seven singles,2: two official albums - Swan Songs,2: two official albums - Swan Songs,6: The six members}","{1: singles,1: members,2: Songs}","{2: ,2: official}",4,"{37: thirty-seven singles,2: two official albums - Swan Songs,2: two official albums - Swan Songs,6: The six members,2: two official albums - Swan Songs,10: the top ten best hollywood undead songs,2: two official albums - Swan Songs,10: the top 10 best Hollywood Undead songs,5: the five current members,3: 3 songs,200000000: 200,000,000 people,36: 36 supporters,3: 3 songs,3: the first 3 songs}","{1: singles,2: members,1: people,1: supporters,5: songs,4: Songs}","{6: ,4: official,2: top,1: current,1: best,1: first}"
songs by Hollywood Undead,,,,5,{5: five members},{1: members},{1: },7,"{5: five members,3: three remixes,10: the top ten best hollywood undead songs,124: 124 song lyrics}","{1: members,1: songs,1: lyrics,1: remixes}","{3: ,1: top}",5,"{5: five members,3: three remixes,10: the top ten best hollywood undead songs,124: 124 song lyrics,4: four songs,9: 9 Songs,5: 5 Songs,5: the five current members,5: the five current members}","{3: members,2: songs,2: Songs,1: lyrics,1: remixes}","{6: ,1: top,2: current}"
Hollywood Undead songs,,,,37,"{37: thirty-seven singles,28: twenty-eight music videos,124: 124 song lyrics}","{1: singles,1: videos,1: lyrics}",{3: },32,"{37: thirty-seven singles,28: twenty-eight music videos}","{1: singles,1: videos}",{2: },6,"{37: thirty-seven singles,28: twenty-eight music videos,124: 124 song lyrics,4: four songs,3: three remastered Hollywood Undead songs,6: six live versions,4: four B-side songs}","{1: singles,1: videos,1: versions,1: lyrics,3: songs}","{5: ,1: remastered,1: live}"
Number of songs by Hollywood Undead,,,,10,{10: the top 10 best Hollywood Undead songs},{1: songs},"{1: best,1: top}",10,{10: the top 10 best Hollywood Undead songs},{1: songs},"{1: best,1: top}",9,"{10: the top 10 best Hollywood Undead songs,5: 5 songs,9: only 9 songs,9: 9 songs,6: these six masked marauders,6: these six masked marauders,17: 17 tracks}","{1: tracks,2: marauders,4: songs}","{1: best,4: ,1: top,2: masked}"
